epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,9,,,0.4375,1.460923671722412,,
0,19,,,0.375,1.490883469581604,,
0,29,,,0.5,1.2360633611679077,,
0,39,,,0.5625,1.1957173347473145,,
0,49,,,0.5,1.025681495666504,,
0,59,,,0.4375,1.1369731426239014,,
0,69,,,0.5625,1.0799281597137451,,
0,79,,,0.5,1.179469108581543,,
0,89,,,0.5625,1.117415189743042,,
0,99,,,0.75,0.9976915121078491,,
0,109,,,0.75,0.6579293608665466,,
0,119,,,0.6875,1.2175832986831665,,
0,129,,,0.8125,0.6196736097335815,,
0,139,,,0.5625,0.9169201254844666,,
0,149,,,0.6875,0.9907337427139282,,
0,159,,,0.75,0.8183148503303528,,
0,160,,,,,0.6994535326957703,0.8464938402175903
1,169,,,0.5,1.4763492345809937,,
1,179,,,0.6875,0.9025104641914368,,
1,189,,,0.625,1.353269338607788,,
1,199,,,0.625,0.998088002204895,,
1,209,,,0.625,1.0425068140029907,,
1,219,,,0.75,0.7800024747848511,,
1,229,,,0.875,0.766342282295227,,
1,239,,,0.5,1.336611032485962,,
1,249,,,0.75,0.7580885887145996,,
1,259,,,0.6875,0.9122824668884277,,
1,269,,,0.75,0.8627291917800903,,
1,279,,,0.625,0.8419464826583862,,
1,289,,,0.5625,0.9360116124153137,,
1,299,,,0.75,0.8733010292053223,,
1,309,,,0.75,0.7078518271446228,,
1,319,,,0.5,1.5690453052520752,,
1,321,,,,,0.7240437269210815,0.803450882434845
2,329,,,0.6875,0.7548618316650391,,
2,339,,,0.75,0.8803796172142029,,
2,349,,,0.4375,1.2455506324768066,,
2,359,,,0.625,0.9950286149978638,,
2,369,,,0.75,0.7239269018173218,,
2,379,,,0.5,1.24916410446167,,
2,389,,,0.75,0.9515215158462524,,
2,399,,,0.75,0.6503262519836426,,
2,409,,,0.8125,0.927455484867096,,
2,419,,,0.8125,0.6432027816772461,,
2,429,,,0.625,0.9064253568649292,,
2,439,,,0.8125,0.7673245668411255,,
2,449,,,0.5625,1.4076526165008545,,
2,459,,,0.75,0.930862307548523,,
2,469,,,0.8125,0.6072034239768982,,
2,479,,,0.6875,0.9055582284927368,,
2,482,,,,,0.7158470153808594,0.7990507483482361
3,489,,,0.6875,1.0923653841018677,,
3,499,,,0.6875,1.0864284038543701,,
3,509,,,0.625,1.036881685256958,,
3,519,,,0.5625,1.15085768699646,,
3,529,,,0.75,0.8816260099411011,,
3,539,,,0.8125,0.6484873294830322,,
3,549,,,0.6875,1.1020053625106812,,
3,559,,,0.5625,0.8864572048187256,,
3,569,,,0.5625,1.1357066631317139,,
3,579,,,0.8125,0.6413744688034058,,
3,589,,,0.8125,0.5498630404472351,,
3,599,,,0.8125,0.5325412750244141,,
3,609,,,0.6875,1.0429831743240356,,
3,619,,,0.875,0.43425747752189636,,
3,629,,,0.75,0.7857325673103333,,
3,639,,,0.875,0.6201770305633545,,
3,643,,,,,0.7281420826911926,0.7700576186180115
4,649,,,0.5625,1.1637849807739258,,
4,659,,,0.75,0.7591672539710999,,
4,669,,,0.8125,0.5919297933578491,,
4,679,,,0.875,0.562055230140686,,
4,689,,,0.75,0.8090248107910156,,
4,699,,,0.6875,0.778513491153717,,
4,709,,,0.875,0.6031439900398254,,
4,719,,,0.6875,0.7600718140602112,,
4,729,,,0.625,0.8938303589820862,,
4,739,,,0.625,0.9316604137420654,,
4,749,,,0.625,1.0178791284561157,,
4,759,,,0.625,0.7123141288757324,,
4,769,,,0.75,0.9259270429611206,,
4,779,,,0.4375,1.5050610303878784,,
4,789,,,0.6875,0.8208149671554565,,
4,799,,,0.875,0.6025552749633789,,
4,804,,,,,0.7131147384643555,0.7881652116775513
5,809,,,0.8125,0.5671420097351074,,
5,819,,,0.625,0.8761987090110779,,
5,829,,,0.5625,1.3749253749847412,,
5,839,,,0.875,0.45311442017555237,,
5,849,,,0.875,0.5617919564247131,,
5,859,,,0.75,0.7371532320976257,,
5,869,,,0.625,1.177085041999817,,
5,879,,,0.625,0.9372614026069641,,
5,889,,,0.5,1.134994626045227,,
5,899,,,0.6875,0.8526912331581116,,
5,909,,,0.625,0.8379254341125488,,
5,919,,,0.6875,0.8020175695419312,,
5,929,,,0.625,0.9933240413665771,,
5,939,,,0.75,0.8072732090950012,,
5,949,,,0.5625,1.3445110321044922,,
5,959,,,0.75,0.7183167934417725,,
5,965,,,,,0.7213114500045776,0.8098330497741699
6,969,,,0.625,1.0193746089935303,,
6,979,,,0.375,1.4921455383300781,,
6,989,,,0.5625,1.0718886852264404,,
6,999,,,0.8125,0.9136512279510498,,
6,1009,,,0.5625,1.0394175052642822,,
6,1019,,,0.6875,1.049952507019043,,
6,1029,,,0.625,0.885837733745575,,
6,1039,,,0.5625,1.0939226150512695,,
6,1049,,,0.75,0.7433866858482361,,
6,1059,,,0.75,0.7043715715408325,,
